site,longitude_dd,latitude_dd
great_sandy_is,115.6362839,-21.20073891
north_sandy_is,115.6527634,-21.10396957
south_passage_is,115.7300034,-21.14182854
passage_is,115.785896,-21.105347
angle_is,115.826147,-21.079188
solitary_is,115.835628,-21.133695
mardie_ck_w,115.921471,-21.07206
mardie_ck_e,115.971676,-21.045624
mid_passage_is,115.840122,-21.048472
long_is,115.850999,-21.014969
round_is,115.863652,-20.977086
sholl_is,115.8916746,-20.9450029
stewart_is,115.940613,-20.878375
mardie_is,115.984784,-20.963795
fortescue_is,116.036779,-20.908758
